title,titlejp,imgpath
Lace,レース・布,lace.png
Accessories,アクセサリー,accessories.png
Accessories Parts,アクセサリーパーツ,parts.png
Button,ボタン,button.png
Paper,ペーパー(ポストカード・雑誌など),paper.png
Doll,ドール,doll.png
Interior,インテリア雑貨,interior.png
Kitchen,キッチン雑貨,kitchen.png
Ivy Original,Ivyオリジナル,original.png
Others,その他,others.png
